,col1
0,https://www.whoscored.com/Matches/1394426/Live/Spain-LaLiga-2019-2020-Levante-Athletic-Bilbao
1,https://www.whoscored.com/Matches/1394409/Live/Spain-LaLiga-2019-2020-Real-Valladolid-Levante
2,https://www.whoscored.com/Matches/1394423/Live/Spain-LaLiga-2019-2020-Leganes-Valencia
3,https://www.whoscored.com/Matches/1394437/Live/Spain-LaLiga-2019-2020-Real-Valladolid-Real-Betis
4,https://www.whoscored.com/Matches/1394422/Live/Spain-LaLiga-2019-2020-Leganes-Real-Madrid
5,https://www.whoscored.com/Matches/1394399/Live/Spain-LaLiga-2019-2020-Mallorca-Levante
6,https://www.whoscored.com/Matches/1394433/Live/Spain-LaLiga-2019-2020-Sevilla-Eibar
7,https://www.whoscored.com/Matches/1394443/Live/Spain-LaLiga-2019-2020-Barcelona-Espanyol
8,https://www.whoscored.com/Matches/1394417/Live/Spain-LaLiga-2019-2020-Espanyol-Eibar
9,https://www.whoscored.com/Matches/1394395/Live/Spain-LaLiga-2019-2020-Getafe-Atletico-Madrid
10,https://www.whoscored.com/Matches/1394424/Live/Spain-LaLiga-2019-2020-Granada-Valencia
11,https://www.whoscored.com/Matches/1394432/Live/Spain-LaLiga-2019-2020-Sevilla-Mallorca
12,https://www.whoscored.com/Matches/1394403/Live/Spain-LaLiga-2019-2020-Real-Sociedad-Espanyol
13,https://www.whoscored.com/Matches/1394393/Live/Spain-LaLiga-2019-2020-Eibar-Leganes
14,https://www.whoscored.com/Matches/1394402/Live/Spain-LaLiga-2019-2020-Real-Madrid-Deportivo-Alaves
15,https://www.whoscored.com/Matches/1394414/Live/Spain-LaLiga-2019-2020-Atletico-Madrid-Real-Betis
16,https://www.whoscored.com/Matches/1394410/Live/Spain-LaLiga-2019-2020-Deportivo-Alaves-Barcelona
17,https://www.whoscored.com/Matches/1394412/Live/Spain-LaLiga-2019-2020-Athletic-Bilbao-Real-Madrid
18,https://www.whoscored.com/Matches/1394440/Live/Spain-LaLiga-2019-2020-Athletic-Bilbao-Leganes
19,https://www.whoscored.com/Matches/1394484/Live/Spain-LaLiga-2019-2020-Real-Betis-Villarreal
20,https://www.whoscored.com/Matches/1394431/Live/Spain-LaLiga-2019-2020-Sevilla-Valencia
